Name,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
G. Pickens WR,11,52,84,776,14.9,2,44,14,70.5,1,1,157,32
P. Freiermuth TE,11,35,40,354,10.1,3,30,4,32.2,1,1,176,19
C. Austin III WR,11,20,36,354,17.7,3,55,7,32.2,0,0,119,12
N. Harris RB,11,23,31,195,8.5,0,32,3,17.7,0,0,212,8
D. Washington TE,11,17,22,182,10.7,1,29,3,16.5,0,0,113,8
V. Jefferson WR,11,16,26,178,11.1,1,36,2,16.2,0,0,46,8
J. Warren RB,9,21,24,142,6.8,0,26,1,15.8,0,0,150,6
C. Patterson RB,7,6,8,34,5.7,0,14,0,4.9,0,0,28,2
M. Williams WR,3,1,1,32,32.0,1,32,1,10.7,0,0,0,1
S. Miller WR,9,2,4,31,15.5,0,20,1,3.4,0,0,22,1
C. Heyward TE,11,4,6,29,7.3,1,16,0,2.6,0,0,7,1
M. Pruitt TE,6,2,4,19,9.5,0,10,0,3.2,0,0,4,0
B. Johnson WR,3,1,1,9,9.0,0,9,0,3.0,0,0,4,0
B. Skowronek WR,5,1,1,4,4.0,0,4,0,0.8,0,0,0,0
Z. Frazier C,9,0,0,-2,0.0,0,-2,0,-0.2,0,0,-2,0
Total,11,201,289,2337,11.6,12,161,36,212.5,6,5,1036,98
